479 249
64 78 62
69 50 73
24 14 89
87 92 83
88 35 62
36 18 71
18 2 86
68 9 54
84 72 13
94 51 4
7 100 96
30 6 89
47 17 22
71 30 32
25 80 6
64 3 29
99 34 65
21 73 33
21 44 97
86 46 29
52 59 55
17 65 11
65 76 79
67 73 70
12 53 86
10 90 48
25 43 86
10 61 2
89 63 35
96 80 2
43 83 66
51 5 43
32 87 81
50 52 1
41 66 87
93 5 49
23 25 35
24 16 16
58 88 32
53 18 21
58 12 97
80 63 56
59 35 8
48 30 90
89 3 22
9 32 8
91 79 6
48 70 2
92 38 10
27 31 67
15 93 36
6 18 67
16 72 8
17 39 45
46 68 50
4 96 14
92 76 80
10 75 48
42 6 89
38 21 42
84 33 8
16 84 10
21 48 55
40 15 42
49 61 53
51 60 13
4 32 93
83 3 40
85 78 6
28 76 45
44 97 53
47 28 97
66 39 58
45 68 80
26 30 34
58 24 92
95 75 67
71 52 51
26 28 46
63 93 86
38 56 23
69 12 59
43 42 30
57 43 88
4 70 2
18 65 87
20 40 12
38 88 34
95 42 56
36 72 74
36 53 93
10 49 91
67 91 40
87 15 8
76 49 10
79 44 28
62 92 75
44 49 72
27 21 73
19 58 77
19 35 39
87 61 61
5 96 86
2 29 15
48 1 66
42 82 17
80 66 10
89 50 19
90 31 42
13 52 58
75 93 23
62 27 84
9 97 60
59 7 78
59 91 76
71 61 77
63 79 47
23 100 97
12 78 18
29 56 36
87 29 67
22 28 53
2 52 91
80 54 18
19 63 41
59 95 74
41 36 82
92 22 60
40 48 41
51 32 35
9 15 10
45 92 3
75 12 56
43 86 76
18 47 49
64 97 87
68 55 23
34 24 37
43 56 39
48 26 53
46 85 44
39 84 98
35 10 16
45 37 85
23 13 43
51 53 99
16 41 23
75 32 93
65 41 50
22 18 30
22 90 43
18 91 73
66 23 5
32 60 75
8 10 28
83 46 54
64 82 75
63 88 85
13 23 1
66 43 56
40 62 78
40 78 25
40 38 91
40 89 75
47 22 58
59 63 16
87 42 49
84 21 32
10 80 92
21 39 65
52 75 81
42 81 89
66 60 15
5 5 93
26 91 77
73 17 13
49 67 95
81 57 60
85 23 47
27 52 79
3 31 47
20 79 43
93 3 7
96 17 27
31 84 91
42 12 63
63 96 57
25 58 24
66 33 74
13 73 98
5 77 66
28 52 86
92 43 21
18 82 64
4 54 87
6 63 91
61 4 100
1 30 6
13 19 88
79 45 24
7 64 12
23 46 18
54 46 99
7 26 10
94 14 61
62 57 35
40 90 52
75 12 19
82 50 79
74 50 60
13 1 80
81 38 53
79 36 14
34 33 99
63 10 30
28 89 49
64 93 2
85 81 52
76 91 47
80 38 53
92 27 41
31 22 19
40 14 85
48 82 52
22 100 14
47 69 36
5 70 88
98 56 2
75 61 61
40 20 91
29 42 33
17 56 29
54 24 2
49 31 29
37 25 60
82 50 69
23 42 61
100 6 16
94 52 88
94 68 32
26 10 40
91 89 7
85 55 98
35 22 36
14 2 100
39 24 86
66 1 6
52 17 70
64 59 61
18 40 10
2 52 34
49 99 41
87 25 100
4 28 84
97 50 50
72 31 20
17 100 82
61 57 11
1 45 49
78 13 65
98 8 5
73 84 76
27 10 40
60 53 23
71 22 99
81 51 81
61 42 58
71 20 7
54 82 78
34 80 37
20 42 48
25 38 45
2 16 96
55 67 100
76 66 93
75 8 39
13 65 4
70 45 75
84 78 91
51 44 58
34 29 5
68 26 15
4 58 45
42 88 65
24 26 35
55 98 39
83 1 86
78 67 94
61 91 91
28 1 87
84 83 42
87 79 60
33 35 59
96 86 32
82 92 18
55 14 64
97 14 73
78 77 86
22 8 12
36 11 100
4 26 68
50 42 7
23 38 6
17 34 27
82 9 100
28 17 50
2 50 43
84 56 68
11 37 53
86 57 30
61 9 7
56 77 69
99 7 23
93 63 97
39 18 52
94 84 67
65 37 88
36 18 100
32 14 16
36 100 17
50 45 73
66 35 100
66 15 5
20 66 49
40 81 95
48 98 82
70 12 76
37 19 4
85 85 68
50 21 57
6 7 10
61 11 63
64 10 45
5 59 92
79 89 15
82 27 92
98 49 20
43 30 72
31 85 50
23 10 25
92 16 83
80 31 84
46 13 91
76 12 99
52 58 41
80 55 3
86 30 97
12 28 20
97 3 6
96 66 62
12 79 39
84 10 78
11 99 16
1 100 35
16 8 59
44 18 27
47 78 72
3 31 93
23 57 80
17 51 43
23 15 23
5 2 4
56 92 60
89 76 80
66 76 62
48 10 66
86 82 60
43 76 21
31 27 93
60 21 86
75 95 97
70 17 47
85 14 15
100 16 96
47 8 2
43 8 5
17 64 100
78 40 85
23 66 83
43 37 1
59 35 77
96 84 53
78 45 100
37 70 65
68 45 8
25 82 97
26 31 24
85 29 82
55 79 2
84 65 9
86 71 29
31 26 62
22 37 76
50 25 86
36 93 53
66 38 77
75 18 31
79 76 6
39 64 70
78 31 59
36 97 41
18 100 42
80 96 41
84 6 8
88 76 81
47 1 82
38 30 23
14 82 52
18 91 22
76 5 32
39 80 51
87 74 80
100 47 37
3 14 50
71 60 56
2 54 66
84 55 55
48 43 9
8 56 82
16 79 47
79 92 8
17 34 3
75 63 70
4 64 27
24 40 9
86 65 55
76 89 36
54 95 2
30 67 71
7 75 42
54 5 77
97 30 54
100 100 24
27 2 62
3 57 79
51 10 58
3 12 23
57 41 1
86 14 71
63 31 92
77 35 65
20 59 87
51 29 74
45 50 23
32 81 21
84 78 89
72 93 65
88 82 17
58 57 97
26 53 60
10 2 70
35 71 34
71 4 65
89 25 63
3 89 59
12 71 10
18 77 11
95 6 18
15 94 39
44 54 29
13 65 99
46 69 27
89 80 94
67 93 56
51 75 86
35 82 39
35 71 43
86 47 90
78 11 15
9 48 29
41 65 73
62 34 40
59 50 10
55 72 10
55 31 75
84 52 18
54 68 9
29 55 89
43 23 21
